"";"gene_id";"gene_type"
"16827";"ENSG00000171608.11";"protein_coding"
"17019";"ENSG00000179840.5";"protein_coding"
"17029";"ENSG00000233268.3";"pseudogene"
"17033";"ENSG00000231789.2";"antisense"
"17038";"ENSG00000171603.12";"protein_coding"
"17203";"ENSG00000271264.1";"pseudogene"
"17207";"ENSG00000178585.10";"protein_coding"
"17283";"ENSG00000223989.1";"antisense"
"17288";"ENSG00000162441.7";"protein_coding"
"17387";"ENSG00000228150.1";"sense_intronic"
"17391";"ENSG00000173614.9";"protein_coding"
"17449";"ENSG00000202415.1";"misc_RNA"
"17452";"ENSG00000265521.1";"miRNA"
"17455";"ENSG00000241326.1";"sense_intronic"
"17459";"ENSG00000162444.11";"protein_coding"
"17488";"ENSG00000225786.2";"pseudogene"
"17493";"ENSG00000130939.14";"protein_coding"
"17743";"ENSG00000224340.1";"pseudogene"
"17746";"ENSG00000233623.2";"pseudogene"
"17750";"ENSG00000201746.1";"snRNA"
"17753";"ENSG00000054523.12";"protein_coding"
"18176";"ENSG00000264881.1";"miRNA"
"18179";"ENSG00000199562.1";"snRNA"
"18182";"ENSG00000264501.1";"misc_RNA"
"18185";"ENSG00000265945.1";"misc_RNA"
"18188";"ENSG00000142657.16";"protein_coding"
"18369";"ENSG00000271989.1";"antisense"
"18372";"ENSG00000175279.17";"protein_coding"
"18439";"ENSG00000251503.3";"protein_coding"
"18483";"ENSG00000241563.2";"protein_coding"
"18502";"ENSG00000160049.7";"protein_coding"
"18550";"ENSG00000203469.2";"antisense"
"18554";"ENSG00000142655.8";"protein_coding"
"18622";"ENSG00000243267.2";"misc_RNA"
"18625";"ENSG00000130940.10";"protein_coding"
"18745";"ENSG00000272078.1";"antisense"
"18749";"ENSG00000225158.2";"pseudogene"
"18752";"ENSG00000175262.10";"protein_coding"
"18868";"ENSG00000215785.2";"pseudogene"
"18872";"ENSG00000264181.1";"miRNA"
"18875";"ENSG00000207213.1";"misc_RNA"
"18878";"ENSG00000120948.11";"protein_coding"
"19015";"ENSG00000009724.12";"protein_coding"
"19065";"ENSG00000271895.1";"antisense"
"19068";"ENSG00000116649.5";"protein_coding"
"19133";"ENSG00000171824.9";"protein_coding"
"19350";"ENSG00000226849.1";"antisense"
"19354";"ENSG00000230337.1";"antisense"
"19361";"ENSG00000198793.8";"protein_coding"
"19569";"ENSG00000225602.1";"antisense"
"19580";"ENSG00000253086.1";"snRNA"
"19583";"ENSG00000271794.1";"snoRNA"
"19586";"ENSG00000171819.4";"protein_coding"
"19606";"ENSG00000207451.1";"snRNA"
"19609";"ENSG00000238173.1";"pseudogene"
"19612";"ENSG00000120942.9";"protein_coding"
"19653";"ENSG00000238199.1";"pseudogene"
